Date,Average Heart Rate,Risk
2026-01-27,134,0
2026-01-28,58,0
2026-01-31,59,0
2026-02-01,58,0
2026-02-02,70,0
2026-02-03,55,0
2026-02-04,64,0
2026-02-05,54,0
2026-02-06,60,0
2026-02-07,59,0
2026-02-08,57,0
2026-02-09,57,0
2026-02-10,54,0
2026-02-11,62,0
2026-02-12,53,0
2026-02-13,57.5,0
2026-02-14,62,0
2026-02-15,58,0
2026-02-16,62,0
2026-02-17,59.5,0
2026-02-18,57,0
2026-02-19,57,0
2026-02-20,56,0
2026-02-22,58,0
2026-02-23,56.0,0
2026-02-24,54,0
2026-02-25,57,0
2026-02-26,56,0
2026-02-27,66,0
2026-02-28,63,2
2026-03-01,57,0
2026-03-02,58,0
2026-03-03,57,0
2026-03-04,63,0
2026-03-05,55,0
2026-03-06,59,0
2026-03-07,58,0
2026-03-08,59,0
2026-03-09,54,0
2026-03-10,54,0
2026-03-11,62,0
2026-03-15,55,0
2026-03-16,54,0
2026-03-17,58,0
2026-03-18,57,0
2026-03-19,55,0
2026-03-20,54,0
2026-03-21,50,0
2026-03-22,54,0
2026-03-23,56,0
2026-03-24,52,0
2026-03-25,66,0
2026-03-26,53,0
2026-03-27,52,0
2026-03-28,53,0
2026-03-29,56,0
2026-03-30,51,0
2026-03-31,51,0
2026-04-01,63,0
2026-04-02,56.5,0
2026-04-03,50,0
2026-04-04,55,0
2026-04-05,56,0
